,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
565,456,Georges Niang,PF,29,PHI,78,1512,.442,.576,.401,.596,.867,.610,.090,.765,93,105,111,109,111,105,34,197,50.6,30.4
566,457,Daishen Nix,PG,20,HOU,57,914,.342,.423,.286,.426,.667,.447,.152,.591,72,77,79,78,85,77,57,152,-56.5,-67.9
567,458,Zeke Nnaji,PF,22,DEN,53,728,.561,.710,.262,.605,.645,.620,.316,.332,118,130,73,111,83,107,119,86,23.3,17.4
568,459,Nerlens Noel,C,28,TOT,17,195,.361,.353,.500,.375,.667,.424,.333,.056,76,64,139,69,85,73,125,14,-12.3,-13.0
569,460,Nerlens Noel,C,28,DET,14,152,.400,.393,.500,.417,.700,.465,.333,.067,84,72,139,76,90,80,125,17,-7.7,-8.0
570,,,,,,,,,,,,,,,,,,,,,,,,,
571,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
574,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
575,461,Nerlens Noel,C,28,BRK,3,43,.167,.167,,.167,.500,.218,.333,.000,35,30,,31,64,38,125,,-4.5,-5.0
576,462,Jaylen Nowell,SG,23,MIN,65,1252,.448,.542,.289,.502,.778,.527,.158,.371,94,99,80,92,99,91,59,96,-54.6,-73.2
577,463,Frank Ntilikina,SG,24,DAL,47,607,.364,.477,.254,.428,.667,.461,.250,.508,76,87,70,79,85,79,94,131,-30.9,-35.3
578,464,Kendrick Nunn,SG,27,TOT,70,964,.424,.493,.354,.512,.854,.530,.091,.496,89,90,98,94,109,91,34,128,-29.7,-48.1
579,465,Kendrick Nunn,SG,27,LAL,39,528,.406,.488,.325,.488,.810,.503,.084,.502,85,89,90,90,104,87,31,130,-28.7,-40.5
580,466,Kendrick Nunn,SG,27,WAS,31,436,.447,.500,.392,.543,.900,.563,.101,.487,94,91,109,100,115,97,38,126,-1.0,-7.6
581,467,Jusuf Nurkić,C,28,POR,52,1391,.519,.567,.361,.561,.661,.589,.380,.236,109,104,100,103,85,101,143,61,16.3,8.7
582,468,Jordan Nwora,SF,24,TOT,62,1188,.436,.462,.408,.533,.791,.561,.193,.474,92,84,113,98,101,97,73,122,-11.3,-19.3
583,469,Jordan Nwora,SF,24,MIL,38,597,.386,.379,.392,.487,.860,.530,.218,.518,81,69,109,89,110,91,82,134,-22.8,-22.0
584,470,Jordan Nwora,SF,24,IND,24,591,.476,.518,.422,.569,.721,.586,.173,.440,100,95,117,104,92,101,65,113,11.6,2.7
585,471,Chuma Okeke,SF,24,ORL,27,518,.352,.472,.302,.459,.762,.488,.172,.705,74,86,84,84,97,84,65,182,-21.0,-24.6
586,472,Josh Okogie,SG,24,PHO,72,1350,.391,.442,.335,.471,.724,.531,.464,.476,82,81,93,86,93,91,174,123,-61.5,-50.5
587,473,Onyeka Okongwu,C,22,ATL,80,1849,.638,.647,.308,.642,.781,.678,.394,.026,134,118,85,118,100,117,148,7,96.0,113.0
588,474,Isaac Okoro,SF,22,CLE,76,1652,.494,.617,.363,.582,.757,.614,.291,.483,104,113,101,107,97,106,109,125,26.0,25.8
589,475,KZ Okpala,PF,23,SAC,35,248,.421,.529,.333,.513,.875,.554,.211,.553,89,97,92,94,112,95,79,143,-2.4,-2.3
590,476,Victor Oladipo,SG,30,MIA,42,1106,.397,.471,.330,.484,.747,.513,.196,.526,84,86,92,89,96,88,74,136,-49.5,-59.9
591,477,Kelly Olynyk,C,31,UTA,68,1942,.499,.576,.394,.583,.853,.643,.417,.424,105,105,109,107,109,111,156,109,41.6,80.8
592,478,Eugene Omoruyi,SF,25,TOT,40,645,.443,.547,.281,.498,.680,.533,.329,.390,93,100,78,91,87,92,123,101,-21.6,-25.4
593,479,Eugene Omoruyi,SF,25,OKC,23,272,.468,.571,.258,.511,.607,.531,.298,.330,98,104,72,94,78,91,112,85,-6.5,-10.6
594,480,Eugene Omoruyi,SF,25,DET,17,373,.425,.526,.293,.489,.723,.533,.351,.433,89,96,81,90,93,92,132,112,-15.1,-14.8
595,,,,,,,,,,,,,,,,,,,,,,,,,
596,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
599,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
600,481,Royce O'Neale,SF,29,BRK,76,2409,.386,.379,.389,.524,.725,.538,.116,.707,81,69,108,96,93,93,44,182,-25.7,-53.7
601,482,Cedi Osman,SF,27,CLE,77,1548,.451,.564,.372,.560,.694,.579,.204,.589,95,103,103,103,89,100,76,152,16.0,-2.4
602,483,Kelly Oubre Jr.,SF,27,CHO,48,1548,.431,.510,.319,.497,.760,.534,.254,.414,91,93,88,91,97,92,95,107,-79.1,-86.5
603,484,Chris Paul,PG,37,PHO,59,1889,.440,.482,.375,.513,.831,.555,.240,.391,93,88,104,94,106,95,90,101,-42.5,-39.4
604,485,Cameron Payne,PG,28,PHO,48,968,.415,.448,.368,.490,.766,.512,.141,.408,87,82,102,90,98,88,53,105,-50.0,-66.4
605,486,Gary Payton II,SG,30,TOT,22,367,.594,.651,.500,.688,.857,.701,.101,.377,125,119,139,126,110,121,38,97,19.8,17.2
606,487,Gary Payton II,SG,30,POR,15,255,.585,.625,.529,.695,1.000,.713,.098,.415,123,114,147,127,128,123,37,107,12.3,11.3
607,488,Gary Payton II,SG,30,GSW,7,112,.607,.684,.444,.679,.667,.682,.107,.321,128,125,123,124,85,117,40,83,7.5,5.9
608,489,Theo Pinson,SG,27,DAL,40,323,.356,.360,.355,.483,.846,.512,.149,.713,75,66,98,89,108,88,56,184,-10.9,-12.8
609,490,Scotty Pippen Jr.,PG,22,LAL,6,32,.333,.333,.333,.375,.556,.439,.750,.250,70,61,92,69,71,75,281,65,-4.1,-4.6
610,491,Mason Plumlee,C,32,TOT,79,2054,.680,.680,,.680,.636,.689,.647,.000,143,124,,125,81,119,243,,130.2,134.2
611,492,Mason Plumlee,C,32,CHO,56,1597,.669,.669,,.669,.605,.673,.646,.000,141,122,,123,77,116,243,,98.2,93.7
612,493,Mason Plumlee,C,32,LAC,23,457,.727,.727,,.727,.772,.761,.648,.000,153,133,,133,99,131,243,,32.0,40.5
613,494,Jakob Poeltl,C,27,TOT,72,1906,.629,.630,.000,.629,.592,.635,.325,.002,132,115,,115,76,109,122,,104.1,75.8
614,495,Jakob Poeltl,C,27,SAS,46,1199,.616,.618,.000,.616,.605,.625,.332,.003,130,113,,113,77,108,125,1,54.9,39.0
615,496,Jakob Poeltl,C,27,TOR,26,707,.652,.652,,.652,.569,.652,.313,.000,137,119,,120,73,112,117,,49.2,36.8
616,497,Aleksej Pokusevski,PF,21,OKC,34,701,.434,.483,.365,.510,.629,.522,.141,.418,91,88,101,94,80,90,53,108,-17.5,-31.4
617,498,Jordan Poole,PG,23,GSW,82,2458,.430,.524,.336,.514,.870,.573,.325,.498,91,96,93,94,111,99,122,129,-79.7,-23.0
618,499,Kevin Porter Jr.,PG,22,HOU,59,2024,.442,.501,.366,.522,.784,.565,.299,.436,93,91,102,96,100,97,112,112,-41.0,-32.7
619,500,Michael Porter Jr.,SF,24,DEN,62,1798,.487,.579,.414,.602,.800,.621,.147,.556,102,106,115,110,102,107,55,143,93.1,68.8
620,,,,,,,,,,,,,,,,,,,,,,,,,
621,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
622,,,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
624,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
625,501,Otto Porter Jr.,SF,29,TOR,8,146,.500,.692,.353,.600,1.000,.656,.267,.567,105,126,98,110,128,113,100,146,3.3,5.0
626,502,Bobby Portis,PF,27,MIL,70,1818,.496,.555,.370,.555,.768,.575,.156,.320,104,101,102,102,98,99,58,83,15.3,-10.4
627,503,Kristaps Porziņģis,C,27,WAS,65,2120,.498,.559,.385,.565,.851,.627,.409,.350,105,102,107,104,109,108,153,90,40.9,108.8
628,504,Micah Potter,PF,24,UTA,7,52,.667,.750,.571,.800,,.800,.000,.467,140,137,158,147,,138,,120,7.6,6.6
629,505,Dwight Powell,C,31,DAL,76,1458,.732,.746,.000,.732,.667,.738,.625,.019,154,136,,134,85,127,234,5,100.7,107.4
630,506,Norman Powell,SG,29,LAC,60,1567,.479,.534,.397,.559,.812,.612,.390,.404,101,98,110,103,104,105,146,104,19.7,51.9
631,507,Jason Preston,PG,23,LAC,14,124,.439,.565,.278,.500,.000,.489,.049,.439,92,103,77,92,,84,18,113,-3.7,-7.7
632,508,Joshua Primo,SG,20,SAS,4,93,.346,.429,.250,.404,.778,.467,.346,.462,73,78,69,74,99,80,130,119,-7.4,-6.8
633,509,Taurean Prince,PF,28,MIN,54,1192,.467,.557,.381,.565,.844,.597,.203,.512,98,102,106,104,108,103,76,132,14.7,13.0
634,510,Payton Pritchard,PG,25,BOS,48,643,.412,.495,.364,.527,.750,.536,.065,.629,87,90,101,97,96,92,25,162,-9.2,-23.0
635,511,Trevelin Queen,SG,25,IND,7,70,.241,.357,.133,.276,1.000,.337,.172,.517,51,65,37,51,128,58,65,133,-15.6,-15.3
636,512,Neemias Queta,C,23,SAC,5,29,.667,.667,,.667,.000,.607,.222,.000,140,122,,122,,104,83,,2.2,.5
637,513,Immanuel Quickley,SG,23,NYK,81,2344,.448,.521,.370,.537,.819,.578,.265,.485,94,95,103,99,105,100,99,125,-14.7,-6.0
638,514,Lester Quinones,SG,22,GSW,4,18,.400,.000,.500,.600,.667,.654,1.200,.800,84,,139,110,85,113,450,206,.5,1.1
639,515,Julius Randle,PF,28,NYK,77,2737,.459,.553,.343,.536,.757,.581,.371,.444,97,101,95,98,97,100,139,115,-27.6,-0.3
640,516,Austin Reaves,SG,24,LAL,64,1843,.529,.631,.398,.616,.864,.687,.541,.441,111,115,110,113,111,118,203,114,69.7,127.8
641,517,Cam Reddish,SF,23,TOT,40,990,.446,.560,.312,.518,.853,.561,.240,.462,94,102,87,95,109,96,90,119,-17.2,-14.1
642,518,Cam Reddish,SF,23,NYK,20,438,.449,.550,.304,.511,.879,.558,.243,.412,94,100,84,94,112,96,91,106,-9.3,-7.0
643,519,Cam Reddish,SF,23,POR,20,552,.443,.568,.318,.523,.833,.563,.239,.500,93,104,88,96,107,97,90,129,-7.9,-7.1
644,520,Davon Reed,SG,27,TOT,43,342,.333,.289,.370,.435,.667,.471,.286,.548,70,53,102,80,85,81,107,141,-18.6,-20.9
645,,,,,,,,,,,,,,,,,,,,,,,,,
646,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
649,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
650,521,Davon Reed,SG,27,DEN,35,315,.312,.250,.364,.412,.750,.456,.250,.550,66,46,101,76,96,78,94,142,-21.2,-22.2
651,522,Davon Reed,SG,27,LAL,8,27,.750,1.000,.500,.875,.250,.694,1.000,.500,158,183,139,160,32,119,375,129,2.6,1.3
652,523,Paul Reed,C,23,PHI,69,755,.593,.606,.167,.596,.745,.620,.244,.029,125,111,46,109,95,107,92,7,21.1,17.9
653,524,Naz Reid,C,23,MIN,68,1251,.537,.653,.346,.602,.677,.617,.220,.376,113,119,96,110,87,106,83,97,65.8,45.3
654,525,Jared Rhoden,SG,23,DET,14,198,.386,.500,.250,.443,1.000,.482,.136,.455,81,91,69,81,128,83,51,117,-9.0,-9.2
655,526,Josh Richardson,SG,29,TOT,65,1530,.431,.506,.365,.528,.852,.555,.146,.529,91,92,101,97,109,95,55,136,-19.1,-31.5
656,527,Josh Richardson,SG,29,SAS,42,997,.436,.518,.357,.527,.883,.556,.148,.510,92,94,99,97,113,96,55,132,-14.7,-21.7
657,528,Josh Richardson,SG,29,NOP,23,533,.419,.468,.384,.530,.762,.550,.142,.581,88,85,106,97,97,95,53,150,-4.4,-9.8
658,529,Nick Richards,C,25,CHO,65,1217,.629,.628,1.000,.631,.749,.676,.585,.003,132,115,277,116,96,116,219,1,53.7,74.5
659,530,Austin Rivers,SG,30,MIN,52,1016,.435,.558,.350,.538,.769,.564,.187,.589,92,102,97,99,98,97,70,152,-2.9,-7.9
660,531,Duncan Robinson,SF,28,MIA,42,691,.371,.556,.328,.504,.906,.534,.135,.810,78,101,91,92,116,92,51,209,-19.5,-23.9
661,532,Jeremiah Robinson-Earl,PF,22,OKC,43,814,.444,.533,.333,.518,.833,.548,.169,.448,93,97,92,95,107,94,64,116,-13.4,-17.8
662,533,Mitchell Robinson,C,24,NYK,59,1591,.671,.671,,.671,.484,.652,.436,.000,141,123,,123,62,112,164,,70.7,47.1
663,534,Orlando Robinson,C,22,MIA,31,425,.528,.566,.000,.528,.710,.565,.348,.067,111,103,,97,91,97,131,17,-3.1,-3.3
664,535,Isaiah Roby,PF,24,SAS,42,474,.432,.516,.300,.490,.488,.497,.265,.387,91,94,83,90,62,86,99,100,-17.0,-29.2
665,536,David Roddy,PF,21,MEM,70,1258,.429,.553,.307,.506,.631,.519,.155,.505,90,101,85,93,81,89,58,130,-33.0,-55.5
666,537,Ryan Rollins,PG,20,GSW,12,62,.350,.364,.333,.425,1.000,.508,.300,.450,74,66,92,78,128,87,113,116,-4.8,-3.3
667,538,Derrick Rose,PG,34,NYK,27,338,.384,.438,.302,.443,.917,.463,.075,.396,81,80,84,81,117,80,28,102,-32.4,-39.0
668,539,Terrence Ross,SG,31,TOT,63,1330,.430,.507,.368,.532,.794,.544,.073,.555,90,93,102,98,102,94,27,143,-12.1,-36.0
669,540,Terrence Ross,SG,31,ORL,42,944,.431,.489,.381,.533,.750,.543,.067,.535,91,89,106,98,96,93,25,138,-7.1,-23.8
670,,,,,,,,,,,,,,,,,,,,,,,,,
671,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
672,,,,,,,,,,,,,,,,,,,,,,,,,
673,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
674,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
675,541,Terrence Ross,SG,31,PHO,21,386,.428,.544,.347,.530,.857,.546,.084,.590,90,99,96,97,110,94,32,152,-5.0,-12.1
676,542,Terry Rozier,SG,28,CHO,63,2221,.415,.480,.327,.484,.809,.517,.185,.425,87,88,91,89,103,89,69,110,-144.5,-164.6
677,543,Ricky Rubio,PG,32,CLE,33,566,.343,.417,.256,.402,.800,.442,.197,.461,72,76,71,74,102,76,74,119,-51.1,-53.8
678,544,D'Angelo Russell,PG,26,TOT,71,2304,.469,.548,.396,.572,.829,.605,.228,.517,99,100,110,105,106,104,86,133,50.2,50.4
679,545,D'Angelo Russell,PG,26,MIN,54,1778,.465,.546,.391,.567,.856,.604,.230,.521,98,100,108,104,110,104,86,135,31.2,36.4
680,546,D'Angelo Russell,PG,26,LAL,17,526,.484,.555,.414,.588,.735,.610,.222,.502,102,101,115,108,94,105,83,130,19.0,14.0
681,547,Matt Ryan,SF,25,TOT,34,310,.370,.333,.381,.519,.833,.538,.111,.778,78,61,106,95,107,93,42,201,-5.8,-9.7
682,548,Matt Ryan,SF,25,LAL,12,129,.306,.143,.371,.439,.800,.459,.102,.714,64,26,103,80,102,79,38,184,-10.4,-12.5
683,549,Matt Ryan,SF,25,MIN,22,181,.424,.600,.388,.585,.857,.604,.119,.831,89,110,107,107,110,104,45,214,4.7,2.8
684,550,Domantas Sabonis,C,26,SAC,79,2736,.615,.639,.373,.632,.742,.668,.467,.088,129,117,104,116,95,115,175,23,162.1,195.5
685,551,Luka Šamanić,PF,23,UTA,7,161,.456,.692,.258,.526,.692,.550,.228,.544,96,126,72,97,89,95,86,140,-2.2,-3.9
686,552,Dario Šarić,C-PF,28,TOT,57,806,.458,.506,.391,.540,.829,.583,.274,.415,96,92,108,99,106,100,103,107,-3.1,1.1
687,553,Dario Šarić,PF,28,PHO,37,533,.427,.450,.391,.503,.818,.545,.247,.388,90,82,108,92,105,94,93,100,-15.1,-14.4
688,554,Dario Šarić,C,28,OKC,20,273,.515,.623,.391,.606,.844,.650,.323,.465,108,114,108,111,108,112,121,120,12.0,15.5
689,555,Olivier Sarr,C,23,OKC,9,114,.500,.636,.125,.517,.714,.544,.233,.267,105,116,35,95,91,94,88,69,-1.7,-2.5
690,556,Jordan Schakel,SF,24,WAS,2,6,.500,.000,1.000,.750,,.750,.000,.500,105,,277,138,,129,,129,.8,.7
691,557,Admiral Schofield,PF,25,ORL,37,451,.451,.646,.324,.549,.913,.587,.189,.607,95,118,90,101,117,101,71,157,1.0,1.4
692,558,Dennis Schröder,PG,29,LAL,66,1986,.415,.461,.329,.472,.857,.545,.388,.346,87,84,91,87,110,94,145,89,-94.8,-54.5
693,559,Jay Scrubb,SG,22,ORL,2,30,.714,.600,1.000,.857,.500,.825,.286,.286,150,110,277,157,64,142,107,74,4.4,3.8
694,560,Dereon Seabron,SG,22,NOP,5,12,.400,.400,,.400,,.400,.000,.000,84,73,,73,,69,,,-1.5,-1.8
695,,,,,,,,,,,,,,,,,,,,,,,,,
696,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
697,,,,,,,,,,,,,,,,,,,,,,,,,
698,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
699,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
700,561,Alperen Şengün,C,20,HOU,75,2171,.553,.570,.333,.565,.715,.599,.360,.071,116,104,92,104,91,103,135,18,31.7,32.8
701,562,Collin Sexton,PG,24,UTA,48,1145,.506,.546,.393,.558,.819,.616,.425,.261,107,100,109,102,105,106,160,67,11.6,39.2
702,563,Landry Shamet,SG,25,PHO,40,807,.377,.376,.377,.502,.882,.537,.170,.663,79,69,104,92,113,92,64,171,-26.2,-28.8
703,564,Day'Ron Sharpe,C,21,BRK,48,552,.544,.544,.545,.561,.636,.581,.322,.064,114,99,151,103,81,100,121,17,5.5,.1
704,565,Shaedon Sharpe,SG,19,POR,80,1779,.472,.559,.360,.551,.714,.568,.162,.437,99,102,100,101,91,98,61,113,7.4,-18.0
705,566,Pascal Siakam,PF,28,TOR,71,2652,.480,.523,.324,.515,.774,.565,.361,.219,101,96,90,94,99,97,135,56,-78.8,-48.8
706,567,Chris Silva,PF,26,DAL,1,3,1.000,1.000,,1.000,,1.000,.000,.000,210,183,,183,,172,,,.9,.8
707,568,Ben Simmons,PG,26,BRK,42,1105,.566,.571,.000,.566,.439,.559,.243,.009,119,104,,104,56,96,91,2,9.7,-11.3
708,569,Kobi Simmons,SG,25,CHO,5,28,.167,.000,.200,.250,1.000,.363,.333,.833,35,,55,46,128,63,125,215,-3.5,-3.0
709,570,Anfernee Simons,SG,23,POR,62,2171,.447,.528,.377,.548,.894,.581,.171,.538,94,96,105,101,114,100,64,139,6.4,-0.4
710,571,Marko Simonovic,C,23,CHI,7,20,.286,.333,.250,.357,.500,.381,.286,.571,60,61,69,66,64,65,107,147,-2.6,-3.2
711,572,Jericho Sims,C,24,NYK,52,812,.776,.783,.000,.776,.750,.780,.150,.009,163,143,,142,96,134,56,2,49.3,45.4
712,573,Marcus Smart,PG,28,BOS,61,1957,.415,.519,.336,.511,.746,.538,.196,.568,87,95,93,94,95,92,74,147,-41.5,-57.2
713,574,Dennis Smith Jr.,PG,25,CHO,54,1390,.412,.475,.216,.438,.736,.475,.235,.246,87,87,60,80,94,82,88,63,-96.9,-105.7
714,575,Dru Smith,SG,25,TOT,15,158,.400,.500,.263,.456,1.000,.475,.067,.422,84,91,73,84,128,82,25,109,-8.1,-9.8
715,576,Dru Smith,SG,25,MIA,5,67,.357,.500,.167,.393,,.393,.000,.429,75,91,46,72,,68,,111,-4.3,-5.3
716,577,Dru Smith,SG,25,BRK,10,91,.419,.500,.308,.484,1.000,.511,.097,.419,88,91,85,89,128,88,36,108,-3.8,-4.6
717,578,Ish Smith,PG,34,DEN,43,398,.397,.420,.167,.405,.500,.407,.031,.092,84,77,46,74,64,70,11,24,-36.9,-46.3
718,579,Jalen Smith,C,22,IND,68,1279,.476,.593,.283,.530,.759,.565,.270,.376,100,108,78,97,97,97,101,97,-16.0,-18.6
719,580,Jabari Smith Jr.,PF,19,HOU,79,2451,.408,.487,.307,.475,.786,.514,.231,.438,86,89,85,87,101,88,87,113,-124.7,-132.3
720,,,,,,,,,,,,,,,,,,,,,,,,,
721,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
722,,,,,,,,,,,,,,,,,,,,,,,,,
723,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
724,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
725,581,Xavier Sneed,SF,25,CHO,4,48,.500,.500,.500,.650,1.000,.723,.400,.600,105,91,139,119,128,124,150,155,2.1,3.3
726,582,Jeremy Sochan,PF,19,SAS,56,1458,.453,.519,.246,.483,.698,.509,.210,.243,95,95,68,89,89,88,79,63,-69.0,-87.0
727,583,Jaden Springer,SG,20,PHI,16,89,.486,.500,.400,.514,.750,.545,.229,.143,102,91,111,94,96,94,86,37,-2.2,-2.8
728,584,Lamar Stevens,SF,25,CLE,62,1120,.448,.513,.316,.500,.702,.524,.198,.330,94,94,88,92,90,90,74,85,-26.1,-36.0
729,585,Isaiah Stewart,C,21,DET,50,1414,.442,.542,.327,.518,.738,.560,.338,.465,93,99,91,95,94,96,127,120,-23.9,-21.9
730,586,Max Strus,SF,26,MIA,80,2272,.410,.559,.350,.535,.876,.557,.113,.713,86,102,97,98,112,96,42,184,-16.5,-40.9
731,587,Jalen Suggs,SG,21,ORL,53,1246,.419,.496,.327,.493,.723,.528,.268,.455,88,91,91,90,92,91,101,117,-46.2,-53.0
732,588,Edmond Sumner,SG,27,BRK,53,736,.461,.511,.356,.519,.917,.597,.401,.323,97,93,99,95,117,103,151,83,-14.3,10.0
733,589,Cole Swider,SF,23,LAL,7,41,.333,.000,.375,.500,,.500,.000,.889,70,,104,92,,86,,229,-0.8,-1.5
734,590,Jae'Sean Tate,SF,27,HOU,31,677,.480,.530,.283,.509,.725,.546,.301,.201,101,97,78,93,93,94,113,52,-16.7,-18.5
735,591,Jayson Tatum,SF,24,BOS,74,2732,.466,.558,.350,.543,.854,.607,.399,.440,98,102,97,100,109,104,150,114,-6.1,94.5
736,592,Terry Taylor,PF,23,TOT,31,264,.520,.607,.263,.553,.545,.557,.147,.253,109,111,73,101,70,96,55,65,1.2,-3.8
737,593,Terry Taylor,PF,23,IND,26,228,.462,.553,.222,.492,.714,.507,.108,.277,97,101,62,90,91,87,40,71,-6.9,-10.1
738,594,Terry Taylor,PF,23,CHI,5,36,.900,.889,1.000,.950,.250,.850,.400,.100,189,162,277,174,32,146,150,26,8.1,6.3
739,595,Garrett Temple,SG,36,NOP,25,162,.400,.368,.423,.522,.750,.535,.089,.578,84,67,117,96,96,92,33,149,-2.1,-4.4
740,596,Dalen Terry,SG,20,CHI,38,214,.444,.556,.259,.493,.667,.523,.292,.375,93,101,72,90,85,90,109,97,-7.5,-9.4
741,597,Daniel Theis,C,30,IND,7,109,.477,.576,.182,.500,.417,.497,.273,.250,100,105,50,92,53,86,102,65,-4.0,-8.3
742,598,Cam Thomas,SG,21,BRK,57,948,.441,.464,.383,.497,.868,.567,.382,.292,93,85,106,91,111,98,143,75,-44.3,-15.1
743,599,Klay Thompson,SF,32,GSW,69,2279,.436,.470,.412,.556,.879,.576,.105,.584,92,86,114,102,112,99,40,151,27.7,-14.0
744,600,JT Thor,PF,20,CHO,69,969,.399,.487,.317,.481,.702,.506,.197,.517,84,89,88,88,90,87,74,133,-30.5,-38.7
745,,,,,,,,,,,,,,,,,,,,,,,,,
746,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
749,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
750,601,Matisse Thybulle,SF-SG,25,TOT,71,1200,.435,.533,.365,.542,.679,.552,.111,.585,91,97,101,99,87,95,42,151,-1.9,-15.4
751,602,Matisse Thybulle,SF,25,PHI,49,591,.431,.547,.333,.522,.750,.536,.103,.543,91,100,92,96,96,92,39,140,-5.5,-11.0
752,603,Matisse Thybulle,SG,25,POR,22,609,.438,.519,.388,.558,.625,.566,.117,.620,92,95,108,102,80,97,44,160,3.6,-4.4
753,604,Xavier Tillman Sr.,C,24,MEM,61,1180,.614,.632,.267,.621,.551,.621,.291,.049,129,115,74,114,70,107,109,13,46.3,27.7
